tmx_filename_original_lang,source_lang_original,source_lang_bcp47,target_lang_original,target_lang_bcp47
en-ar,en,en,ar,ar
en-bn,en,en,bn,bn
en-ckb,en,en,ckb,ckb
en-din,en,en,din,din
en-es-LA,en,en,es-LA,es-LA
en-fa,en,en,fa,fa
en-fr,en,en,fr,fr
en-fuv,en,en,fuv,fuv
en-ha,en,en,ha,ha
en-hi,en,en,hi,hi
en-id,en,en,id,id
en-km,en,en,km,km
en-kr,en,en,kr,kr
en-ku,en,en,ku,ku
en-lg,en,en,lg,lg
en-ln,en,en,ln,ln
en-mr,en,en,mr,mr
en-ms,en,en,ms,ms
en-my,en,en,my,my
en-ne,en,en,ne,ne
en-nus,en,en,nus,nus
en-om,en,en,om,om
en-prs,en,en,prs,prs
en-ps,en,en,ps,ps
en-pt-BR,en,en,pt-BR,pt-BR
en-ru,en,en,ru,ru
en-rw,en,en,rw,rw
en-so,en,en,so,so
en-sw,en,en,sw,sw
en-ta,en,en,ta,ta
en-ti,en,en,ti,ti
en-ti_ER,en,en,ti_ER,ti-ER
en-ti_ET,en,en,ti_ET,ti-ET
en-tl,en,en,tl,tl
en-ur,en,en,ur,ur
en-zh,en,en,zh,zh
en-zu,en,en,zu,zu
